,base,GenSR,Sublex_Score
3482,g-zj-e-n,g-z-n-a,0.0116238996527098
3546,l-u-g-zj-e-n,l-u-g-z-n-a,0.0116238996527098
3547,rj-i-g-o-z-n,rj-i-g-z-n-a,8.54844888873e-05
3548,p-u-gj-e-z-n,p-u-g-z-n-a,
3677,g-o-z-n,g-z-n-a,8.54844888873e-05
3742,t-a-g-z-o-n,t-a-g-z-n-a,0.016114905046648
3743,gj-e-z-r,g-z-r-a,
3751,p-u-g-z-o-r,p-u-g-z-r-a,0.00047230186807159996
3752,z-u-g-o-z-r,z-u-g-z-r-a,1.9945499512e-06
3753,t-a-gj-e-z-r,t-a-g-z-r-a,
3754,g-z-o-r,g-z-r-a,0.00047230186807159996
3762,b-a-gj-e-z-r,b-a-g-z-r-a,
3779,g-zj-e-r,g-z-r-a,0.000355723865375
3787,z-u-gj-e-z-r,z-u-g-z-r-a,
3796,zj-i-g-o-m,zj-i-g-m-a,0.6666666666666666
3797,gj-e-m,g-m-a,0.4737447680116982
4172,g-o-m,g-m-a,0.6666666666666666
4236,tj-i-gj-e-m,tj-i-g-m-a,0.4737447680116982
4365,l-a-g-o-m,l-a-g-m-a,0.6666666666666666
4498,sh-u-gj-e-m,sh-u-g-m-a,0.3931698376816958
4624,g-a-gj-e-m,g-a-g-m-a,0.4737447680116982
4697,lj-i-g-mj-e-v,lj-i-g-m-v-a,0.0017788633122961
4698,g-m-o-v,g-m-v-a,0.0026378495818008
4762,g-mj-e-v,g-m-v-a,0.0017788633122961
6762,s-u-g-mj-e-v,s-u-g-m-v-a,0.0017788633122961
7770,kj-i-g-mj-e-v,kj-i-g-m-v-a,0.0017788633122961
7835,g-o-m-v,g-m-v-a,1.855149040376739e-07
7960,m-u-g-mj-e-v,m-u-g-m-v-a,0.0017788633122961
8094,gj-e-m-v,g-m-v-a,
10344,m-u-g-m-o-v,m-u-g-m-v-a,0.0026378495818008
13409,zh-a-g-o-m-v,zh-a-g-m-v-a,1.855149040376739e-07
13410,g-u-g-m-o-v,g-u-g-m-v-a,0.0026378495818008
13411,gj-i-g-mj-e-v,gj-i-g-m-v-a,0.0017788633122961
13412,tj-i-g-m-o-v,tj-i-g-m-v-a,0.0026378495818008
14663,l-u-g-mj-e-v,l-u-g-m-v-a,0.0017788633122961
15978,tj-i-g-mj-e-v,tj-i-g-m-v-a,0.0017788633122961
16104,r-u-g-o-m-v,r-u-g-m-v-a,1.855149040376739e-07
16105,sh-u-g-o-m-v,sh-u-g-m-v-a,1.855149040376739e-07
16106,x-a-g-o-m-v,x-a-g-m-v-a,1.855149040376739e-07
16232,r-a-gj-e-m-v,r-a-g-m-v-a,
16233,g-o-r,g-r-a,0.6666666666666666
16260,zh-u-gj-e-r,zh-u-g-r-a,0.3934101867418133
16315,z-u-gj-e-r,z-u-g-r-a,0.3934101867418133
16316,gj-e-r,g-r-a,0.474023408736487
16317,k-u-g-o-r,k-u-g-r-a,0.6666666666666666
16318,g-a-g-o-r,g-a-g-r-a,0.6666666666666666
16319,sh-u-g-o-r,sh-u-g-r-a,0.6666666666666666
16320,b-u-gj-e-r,b-u-g-r-a,0.3934101867418133
16321,gj-i-gj-e-r,gj-i-g-r-a,0.474023408736487
16322,zh-a-dj-e-b,zh-a-d-b-a,0.1366964329358033
16323,pj-i-dj-e-b,pj-i-d-b-a,0.1366964329358033
16324,dj-e-b,d-b-a,0.0817351820845032
16325,d-o-b,d-b-a,0.10797725800222889
16352,pj-i-d-o-b,pj-i-d-b-a,0.1937635731225528
16353,sh-u-dj-e-b,sh-u-d-b-a,0.1366964329358033
16354,b-a-d-o-b,b-a-d-b-a,0.1937635731225528
16409,d-b-o-v,d-b-v-a,0.013584736902932
16473,d-o-b-v,d-b-v-a,1.0575504757e-06
16481,lj-i-d-b-o-v,lj-i-d-b-v-a,0.0279641101564351
16482,dj-e-b-v,d-b-v-a,
16664,mj-i-dj-e-b-v,mj-i-d-b-v-a,
16673,sh-i-dj-e-b-v,sh-i-d-b-v-a,
16765,m-u-d-o-b-v,m-u-d-b-v-a,3.070846783e-06
16766,d-b-o-d,d-b-d-a,0.005118306856450599
16782,b-u-d-b-o-d,b-u-d-b-d-a,0.0094718308276242
16783,dj-e-b-d,d-b-d-a,
16791,zh-a-d-o-b-d,zh-a-d-b-d-a,3.3305557759e-06
