,GenSR,YerUR,translit,23-sfcost-prod,Sublex_Score
476,zh-a-zh-g-zh-a,zh-a-zh-o_flt-g-zh,zh-a-zh-o-g-zh,5.737234652897303e-05,2.9882452567036196e-10
477,z-u-zh-g-zh-a,z-u-zh-g-o_flt-zh,z-u-zh-g-o-zh,0.0002012072434607645,0.0005926663472028
478,zh-g-zh-a,zh-o_flt-g-zh,zh-o-g-zh,5.820382981200163e-05,2.9882452567036196e-10
479,zh-g-zh-a,zh-e_flt-g-zh,zh-e-g-zh,5.7740054275651024e-05,2.988293832958014e-10
480,mj-i-zh-g-zh-a,mj-i-zh-g-e_flt-zh,mj-i-zh-gj-e-zh,0.00019837333862328903,0.0005311153883439
481,rj-i-zh-g-zh-a,rj-i-zh-o_flt-g-zh,rj-i-zh-o-g-zh,5.7603686635944667e-05,2.9882452567036196e-10
482,zh-g-zh-a,zh-g-e_flt-zh,zh-gj-e-zh,0.00021003990758244052,0.0005311153883439
483,m-a-zh-g-zh-a,m-a-zh-g-o_flt-zh,m-a-zh-g-o-zh,0.00021312872975277054,0.0005926663472028
484,x-a-zh-g-z-a,x-a-zh-g-e_flt-z,x-a-zh-gj-e-z,0.000563063063063063,0.0157196382855542
485,b-u-zh-g-z-a,b-u-zh-e_flt-g-z,b-u-zh-e-g-z,0.00010697475395806594,4.914975898263913e-08
486,tj-i-zh-g-z-a,tj-i-zh-g-e_flt-z,tj-i-zh-gj-e-z,0.0005370569280343717,0.0157196382855542
487,b-a-zh-g-z-a,b-a-zh-e_flt-g-z,b-a-zh-e-g-z,0.0001103143960286817,4.914975898263913e-08
488,zh-g-z-a,zh-g-e_flt-z,zh-gj-e-z,0.000563063063063063,0.0157196382855542
489,zh-g-z-a,zh-e_flt-g-z,zh-e-g-z,0.00010986596352450016,4.914975898263913e-08
490,x-a-zh-g-z-a,x-a-zh-g-e_flt-z,x-a-zh-gj-e-z,0.000563063063063063,0.0157196382855542
491,zh-g-m-a,zh-o_flt-g-m,zh-o-g-m,0.00020790020790020797,0.0001405101756992
492,zh-g-m-a,zh-e_flt-g-m,zh-e-g-m,0.00020790020790020797,0.0001451401696522
493,b-u-zh-g-m-a,b-u-zh-o_flt-g-m,b-u-zh-o-g-m,0.00020128824476650558,0.0001405101756992
494,m-a-zh-g-m-a,m-a-zh-g-e_flt-m,m-a-zh-gj-e-m,0.000739644970414201,0.1260869588755536
495,zh-g-m-a,zh-o_flt-g-m,zh-o-g-m,0.00020790020790020797,0.0001405101756992
496,x-a-zh-g-m-a,x-a-zh-e_flt-g-m,x-a-zh-e-g-m,0.0002090301003344481,0.0001451401696522
497,sh-a-zh-g-m-a,sh-a-zh-o_flt-g-m,sh-a-zh-o-g-m,0.0002090301003344481,0.0001405101756992
498,sh-i-zh-g-m-a,sh-i-zh-e_flt-g-m,sh-i-zh-e-g-m,0.00019201228878648228,0.0001451401696522
499,r-u-zh-g-r-a,r-u-zh-e_flt-g-r,r-u-zh-e-g-r,0.0014492753623188402,0.0014764083313308
500,zh-g-r-a,zh-g-e_flt-r,zh-gj-e-r,0.010869565217391304,0.4740234092970407
501,zh-g-r-a,zh-g-e_flt-r,zh-gj-e-r,0.010869565217391304,0.4740234092970407
502,xj-i-zh-g-r-a,xj-i-zh-o_flt-g-r,xj-i-zh-o-g-r,0.0010869565217391302,0.0014293713871383
503,x-u-zh-g-r-a,x-u-zh-o_flt-g-r,x-u-zh-o-g-r,0.0010869565217391302,0.0014293713871383
504,zh-g-r-a,zh-g-e_flt-r,zh-gj-e-r,0.010869565217391304,0.4740234092970407
505,n-u-zh-g-r-a,n-u-zh-g-o_flt-r,n-u-zh-g-o-r,0.0074074074074074086,0.6666666666666666
506,m-u-zh-g-r-a,m-u-zh-e_flt-g-r,m-u-zh-e-g-r,0.0014492753623188402,0.0014764083313308
507,l-u-zh-g-r-a,l-u-zh-g-e_flt-r,l-u-zh-gj-e-r,0.007092198581560284,0.4740234092970407
508,zh-g-r-a,zh-g-o_flt-r,zh-g-o-r,0.011363636363636366,0.6666666666666666
509,zh-g-r-a,zh-e_flt-g-r,zh-e-g-r,0.0021739130434782605,0.0014764083313308
510,zh-d-a,zh-e_flt-d,zh-e-d,0.1,0.1937635731225528
511,lj-i-zh-d-a,lj-i-zh-o_flt-d,lj-i-zh-o-d,0.25,0.1937635731225528
512,l-a-zh-d-a,l-a-zh-o_flt-d,l-a-zh-o-d,0.5,0.1937635731225528
